Company,Experience,Job_Post_History,Location,Ratings,Salary,Skills,Title,URL,Reviews_count
Accenture,5-8 Yrs,1 Day Ago,Pune,4.2,Medium,Financial reporting,Senior Analyst ,https://www.naukri.com/job-listings-senior-analyst-finance-processes-and-operations-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-050822904730,30336
Oracle,2-7 Yrs,1 Day Ago,Pune,4.7,Medium,KYC ,Business Analyst,https://www.naukri.com/job-listings-financial-analyst-icon-pharmaceutical-s-chennai-4-to-8-years-040822502087,14
Shell,3-5 Yrs,1 Day Ago,Pune,3.9,Medium,Automation,Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929,3683
BNY Mellon,1-4 Yrs,5 Days Ago,Pune,4.2,Medium,general ledger,Finance Analyst,https://www.naukri.com/job-listings-sr-associate-financial-analyst-rave-technologies-india-pvt-ltd-mumbai-4-to-6-years-050822501517,4657
Sona Comstar,4-9 Yrs,1 Day Ago,Pune,3.7,Medium,Financial Analysis,Finance Analyst,https://www.naukri.com/job-listings-finance-analyst-siemens-limited-mumbai-gurgaon-gurugram-aurangabad-vadodara-baroda-0-to-5-years-010822501493,105
Accenture,5-10 Yrs,1 Day Ago,Pune,4.2,Medium,Financial Analysis,Research Analyst,https://www.naukri.com/job-listings-financial-planning-analyst-ubisoft-entertainment-india-pvt-ltd-pune-2-to-3-years-280722502526,30336
CoinDCX,12-15 Yrs,2 Days Ago,Pune,3.1,Medium,Financial statements,Business Analyst,https://www.naukri.com/job-listings-business-analyst-finance-coindcx-mumbai-1-to-3-years-060822501062,111
Aspire System,5-10 Yrs,5 Days Ago,Pune,4.1,Medium,Due diligence,Research Analyst,https://www.naukri.com/job-listings-financial-analyst-compucom-csi-systems-india-pvt-ltd-pune-3-to-7-years-030822010040,932
Accenture,0-3 Yrs,4 Days Ago,Pune,4.2,Medium,Microstrategy ,Business Analyst,https://www.naukri.com/job-listings-finance-analyst-method-studios-pune-1-to-4-years-020822502123,30336
Icon Clinical Research,0-2 Yrs,4 Days Ago,Pune,3.9,Medium,Oracle Fusion Finance,Finance Analyst,https://www.naukri.com/job-listings-ra-marine-finance-analyst-shell-india-markets-private-limited-chennai-2-to-7-years-230722900549,5
Thinking Solution,0-2 Yrs,3 Days Ago,Pune,4.3,Medium,Analyst,Research Analyst,https://www.naukri.com/job-listings-financial-crime-operations-analyst-natwest-group-chennai-2-to-7-years-290722910786,24
Oracle,3-5 Yrs,1 Day Ago,Chennai,3.9,Medium,financial analysis,Senior Analyst ,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929,3683
Shell,2-6 Yrs,1 Day Ago,Chennai,4.2,Low,Post production,Senior Analyst ,https://www.naukri.com/job-listings-financial-analyst-sona-blw-precision-forgings-limited-chennai-5-to-10-years-010822004202,2508
Accenture,5-10 Yrs,1 Day Ago,Chennai,4.2,Medium,Power Bi Reports,Research Analyst,https://www.naukri.com/job-listings-immediate-hiring-for-financial-analyst-associated-auto-solutions-international-pvt-ltd-chennai-kodambakkam-2-to-4-years-030822009388,30336
Accenture,5-8 Yrs,8 Days Ago,Chennai,4.2,Medium,Financial Analysis,Business Analyst,https://www.naukri.com/job-listings-r-a-int-lubes-finance-analyst-it-shell-india-markets-private-limited-chennai-3-to-8-years-030822908594,30336
Accenture,5-8 Yrs,8 Days Ago,Chennai,4.2,Medium,Financial Analyst ,Senior Analyst ,https://www.naukri.com/job-listings-financial-research-analyst-corporate-development-aspire-systems-india-p-ltd-chennai-1-to-4-years-100522006728,30336
Accenture,5-8 Yrs,12 Days Ago,Chennai,4.2,Medium,Finance ,Finance Analyst,https://www.naukri.com/job-listings-financial-analyst-ii-icon-spot-offer-icon-clinical-research-india-private-limited-chennai-3-to-8-years-020822010245,30336
Accenture,5-10 Yrs,8 Days Ago,Chennai,4.2,Medium,Financial Analysis,Finance,https://www.naukri.com/job-listings-analyst-finance-processes-accenture-solutions-pvt-ltd-chennai-3-to-5-years-250722904226,30336
Air Products,3-5 Yrs,3 Days Ago,Chennai,4,High,data analyses,Finance Analyst,https://www.naukri.com/job-listings-oracle-financial-analyst-kraftmaid-services-india-private-limited-pune-3-to-7-years-030822006935,586
UBI Soft,3-5 Yrs,3 Days Ago,Chennai,4.2,Medium,Assurance,Finance Analyst,https://www.naukri.com/job-listings-analyst-finance-processes-accenture-solutions-pvt-ltd-chennai-3-to-5-years-290722915023,28
Snap Hunt,3-8 Yrs,12 Days Ago,Chennai,4,Medium,R12,Senior Analyst ,https://www.naukri.com/job-listings-senior-analyst-finance-processes-accenture-solutions-pvt-ltd-chennai-5-to-8-years-280722909131,59
Compucom,0-4 Yrs,3 Days Ago,Chennai,3.9,Medium,Due diligence,Senior Analyst ,https://www.naukri.com/job-listings-senior-analyst-finance-processes-accenture-solutions-pvt-ltd-chennai-5-to-8-years-290722914933,157
Credit Suisse,3-6 Yrs,9 Days Ago,Chennai,4.1,Medium,Oracle Fusion Finance,Finance Analyst,https://www.naukri.com/job-listings-r-a-int-lubes-finance-analyst-om-eg-shell-india-markets-private-limited-chennai-3-to-8-years-050822906590,290
Health Spring,3-6 Yrs,9 Days Ago,Chennai,4.5,Medium,equity research,Finance Analyst,https://www.naukri.com/job-listings-consultant-analyst-finance-thinksynq-solution-pvt-ltd-chennai-0-to-4-years-010822000607,5
Rave Technologies,4-8 Yrs,2 Days Ago,Chennai,1.6,Medium,Analysis,Research Analyst,https://www.naukri.com/job-listings-senior-financial-associate-financial-analyst-senior-financial-analyst-rr-donnelley-india-outsource-private-limited-chennai-2-to-6-years-030822009713,4
Simens,3-8 Yrs,5 Days Ago,Chennai,3.3,Medium,investment banking  ,Finance,https://www.naukri.com/job-listings-analyst-finance-processes-accenture-solutions-pvt-ltd-chennai-3-to-5-years-050822904853,11
Shell,3-8 Yrs,14 Days Ago,Chennai,4.2,Medium,Dynamics 365,Finance Analyst,https://www.naukri.com/job-listings-lead-analyst-financial-planning-analysis-bny-mellon-international-operations-india-pune-3-to-6-years-250722500820,2508
Oracle,3-5 Yrs,1 Day Ago,Mumbai,3.9,Medium,Financial planning,Finance Analyst,https://www.naukri.com/job-listings-oracle-fusion-finance-analyst-oracle-india-pvt-ltd-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010422002929,3683
Accenture,5-10 Yrs,1 Day Ago,Mumbai,4.2,Medium,ERP ,Finance Analyst,https://www.naukri.com/job-listings-finance-analyst-company3-method-india-private-limited-pune-3-to-6-years-010822004859,30336
Eversendal,2-4 Yrs,9 Days Ago,Mumbai,4.2,Medium,Structured Finance,Finance Analyst,https://www.naukri.com/job-listings-analyst-finance-processes-accenture-solutions-pvt-ltd-mumbai-3-to-5-years-050822904855,1378
